Marc Los Huertos,Pomona College,pomona.edu,990,Biogeochemistry | Aquatic Ecology,https://scholar.google.com/citations?hl=en&user=6xx6mIwAAAAJ
Gilda L. Ochoa,"Professor of Chicana/o-Latina/o Studies, Pomona College",pomona.edu,980,Chicanas/os-Latinas/os in Contemporary … | Education | Race and Ethnicity | Immigration | Community Relations,https://scholar.google.com/citations?hl=en&user=bkZMDYUAAAAJ
Michael Diercks,"Associate Professor of Linguistics and Cognitive Science, Pomona College",pomona.edu,876,Linguistics | Syntax | Bantu languages,https://scholar.google.com/citations?hl=en&user=z0dthwgAAAAJ
Hung Cam Thai,Pomona College,pomona.edu,780,Monetary Flows | Intimate Life | Immigration | Diaspora | Vietnam,https://scholar.google.com/citations?hl=en&user=P7XaqD8AAAAJ
Colin J. Beck,"Associate Professor, Pomona College",pomona.edu,768,Sociology | Political Sociology | Global and Transnational Sociology | Comparative-Historical Sociology | Revolutions,https://scholar.google.com/citations?hl=en&user=nMeOiWUAAAAJ
Fernando Lozano,Pomona College,pomona.edu,691,Not Mentioned,https://scholar.google.com/citations?hl=en&user=-wfC2OYAAAAJ
Frances Pohl,"Professor of Art History, Emerita, Pomona College",pomona.edu,674,American art,https://scholar.google.com/citations?hl=en&user=peVs37AAAAAJ
Joseph C. Osborn,Pomona College,pomona.edu,643,Artificial Intelligence | Game Design | Computer-Aided Game Design | Human-Computer Interaction | Computer Science,https://scholar.google.com/citations?hl=en&user=04S3fL0AAAAJ
Ryan C Cammarota,"Robbins Fellow, Pomona College",pomona.edu,636,physical organic chemistry | data science | computational chemistry | organometallic chemistry,https://scholar.google.com/citations?hl=en&user=USiBziIAAAAJ
Mieczysław P. Boduszyński,"Associate Professor of Politics and International Relations, Pomona College",pomona.edu,593,US foreign policy | democracy and democracy promotion | Balkans/Middle East/East Asia,https://scholar.google.com/citations?hl=en&user=Zn8Lx-AAAAAJ
W Bowman Cutter,Pomona College,pomona.edu,584,Environment | Water | Urban | Economics,https://scholar.google.com/citations?hl=en&user=q7rrSmgAAAAJ
Gizem Karaali,"Mathematics Department, Pomona College",pomona.edu,550,Representation Theory | Matching Theory | Quantitative Literacy | Mathematics for Social Justice | Humanistic Mathematics,https://scholar.google.com/citations?hl=en&user=x8wTG3IAAAAJ
