Anna Glechner,"Wissenschaftliche Mitarbeiterin, Universität für Weiterbildung Krems",donau-uni.ac.at,427,Evidenzbasierte Medizin,https://scholar.google.com/citations?hl=en&user=OGg5qn8AAAAJ
Blaschitz Edith,Universität für Weiterbildung Krems,donau-uni.ac.at,160,Digital Memory Studies | Erinnerungskultur | Science Fiction,https://scholar.google.com/citations?hl=en&user=bNlJlrQAAAAJ
Eva Maria Stöckler,Universität für Weiterbildung Krems,donau-uni.ac.at,38,Musik | Literatur,https://scholar.google.com/citations?hl=en&user=YAOFcBUAAAAJ
Pamela Paula Maldini,"Master student, Universität für Weiterbildung Krems",edu.donau-uni.ac.at,Not Mentioned,higher education | education | informatics | student mobility | internationalization,https://scholar.google.com/citations?hl=en&user=F_CnIRwAAAAJ
