Joe P. Chen,"Associate Professor of Mathematics, Colgate University",colgate.edu,1425,Probability | Stochastic processes | Partial differential equations | Mathematical physics | Mathematics of machine learning,https://scholar.google.com/citations?hl=en&user=ui3_8d8AAAAJ
Eric Muller,"Assistant Professor, Colgate University",colgate.edu,1389,Vibrational Spectroscopy | Near-field Microscopy | Ultrafast Spectroscopy,https://scholar.google.com/citations?hl=en&user=Yg0zeT0AAAAJ
Erin Cooley,Colgate University,colgate.edu,1299,Stereotyping & Prejudice,https://scholar.google.com/citations?hl=en&user=fNKUYZcAAAAJ
Nancy Ries,"Professor of Anthropology and Peace and Conflict Studies, Colgate University",colgate.edu,1289,Anthropology | Peace and Conflict Studies | Russia | language | culture,https://scholar.google.com/citations?hl=en&user=xvpVlyUAAAAJ
Timothy McCay,"Professor of Biology, Colgate University",colgate.edu,1217,earthworms | litter | shrews | decomposition | biostatistics education,https://scholar.google.com/citations?hl=en&user=QWUiNPMAAAAJ
michael eric hopkins,"Darmouth College, Colgate University, Rockefeller University",Not Mentioned,1178,neuroscience | physical exercise | executive function,https://scholar.google.com/citations?hl=en&user=kSnW8ogAAAAJ
Ramesh Adhikari,"Assistant Professor of Physics, Colgate University",colgate.edu,1096,Nanotechnology | Biomaterials | Charge Transport,https://scholar.google.com/citations?hl=en&user=d4uaLFIAAAAJ
Jyoti Khanna,"Professor of Economics, Colgate University",colgate.edu,1054,Not Mentioned,https://scholar.google.com/citations?hl=en&user=beWsl2UAAAAJ
Paul Harnik,"Assistant Professor of Earth & Environmental Geosciences, Colgate University",colgate.edu,1052,Paleobiology | Evolutionary Biology | Ecology | Marine Science,https://scholar.google.com/citations?hl=en&user=W7yjmAkAAAAJ
Janel Benson,"Professor of Sociology, Colgate University",colgate.edu,964,Sociology | Transition to Adulthood | Higher Education | Life Course,https://scholar.google.com/citations?hl=en&user=wDsSk7YAAAAJ
Kenneth Segall,"Professor of Physics, Colgate University",colgate.edu,886,physics | low temperature physics | josephson junctions | nonlinear dynamics,https://scholar.google.com/citations?hl=en&user=Mind0nEAAAAJ
Ana Gabriela Jimenez,Colgate University,colgate.edu,882,Cellular physiology | aging | oxidative stress | thermal physiology,https://scholar.google.com/citations?hl=en&user=xUDPP8MAAAAJ
Ewa Galaj,Colgate University,colgate.edu,873,behavioral neuroscience | drug addiction | dopamine | midbrain,https://scholar.google.com/citations?hl=en&user=-9V-3bYAAAAJ
Ahmet Ay,Colgate University: Departments of Biology and Mathematics,colgate.edu,868,Systems Biology | Bioinformatics | Mathematical Biology | Gene Regulatory Networks,https://scholar.google.com/citations?hl=en&user=AwapjuNTGjMC
Adam Burnett,Colgate University,colgate.edu,866,Not Mentioned,https://scholar.google.com/citations?hl=en&user=6pH21qIAAAAJ
Christopher R. Henke,"Professor of Sociology and Environmental Studies, Colgate University",colgate.edu,845,Science and Technology Studies | Food and Agriculture | Environment | Ethnomethodology | Work and Practice,https://scholar.google.com/citations?hl=en&user=xjnMIJsAAAAJ
Alison Koleszar,Colgate University,colgate.edu,840,Not Mentioned,https://scholar.google.com/citations?hl=en&user=uoCZO6UAAAAJ
Jennifer C. Peeler,Colgate University,colgate.edu,830,Biochemistry | Chemical Biology,https://scholar.google.com/citations?hl=en&user=-tTnZXIAAAAJ
Teo Ballvé,Colgate University,colgate.edu,815,Geography | Peace & Conflict | Political Ecology | Political Geography,https://scholar.google.com/citations?hl=en&user=dKmbEN4AAAAJ
Aaron Robertson,"Professor of Mathematics, Colgate University",colgate.edu,800,Ramsey Theory and Enumerative …,https://scholar.google.com/citations?hl=en&user=bMTZ3GkAAAAJ
AF Isakovic,"Colgate University, Khalifa University",colgate.edu,794,spintronics | charge and spin density waves | science education | graphene oxide | evolutionary computing,https://scholar.google.com/citations?hl=en&user=aOSylTEAAAAJ
Jeff Bary,"Assistant Professor of Physics & Astronomy, Colgate University",colgate.edu,776,Star Formation | Circumstellar Disks | Planet Formation,https://scholar.google.com/citations?hl=en&user=IoMIdHUAAAAJ
Andrew Pattison,Colgate University,colgate.edu,744,Environmental Politics | Climate Policy | Learning | Social-ecological systems,https://scholar.google.com/citations?hl=en&user=HUb4BV4AAAAJ
Lauren E. Philbrook,Colgate University,colgate.edu,741,parenting | neighborhood context | sleep | psychophysiology,https://scholar.google.com/citations?hl=en&user=HLbu6j0AAAAJ
Ernest G Nolen,Colgate University,colgate.edu,739,organic synthesis,https://scholar.google.com/citations?hl=en&user=2zULXCcAAAAJ
Jason Kawall,"Professor of Philosophy and Environmental Studies, Colgate University",colgate.edu,669,Ethics | Epistemology | Environmental Ethics,https://scholar.google.com/citations?hl=en&user=IzN3oVMAAAAJ
Alexander Nakhimovsky,"Linguistics, Colgate University",colgate.edu,631,Slavic linguistics | sociolinguistics | history | Soviet history,https://scholar.google.com/citations?hl=en&user=FBLqZO8AAAAJ
Jeffrey Nugent,Colgate University,colgate.edu,630,Faculty Development | Educational Technology | Connected Learning,https://scholar.google.com/citations?hl=en&user=qTFOYGsAAAAJ
Vijay Ramachandran,"Associate Professor of Computer Science, Colgate University",colgate.edu,606,Networking | Routing | Algorithms,https://scholar.google.com/citations?hl=en&user=3rq29xkAAAAJ
Joshua Finnell,Colgate University,colgate.edu,590,Scholarly Communication,https://scholar.google.com/citations?hl=en&user=lRGyIYwAAAAJ
Edward Fogarty,Colgate University,colgate.edu,577,global governance | European politics,https://scholar.google.com/citations?hl=en&user=qo3udv8AAAAJ
Nicholas J Moore,Colgate University,colgate.edu,574,applied mathematics | numerical methods | fluid dynamics | PDEs,https://scholar.google.com/citations?hl=en&user=AWzRWCcAAAAJ
