44,Purdue University,https://www.purdue.edu/,us
45,University of New South Wales,https://www.unsw.edu.au/,au
46,University of Pittsburgh,https://www.pitt.edu/,us
47,Michigan State University,https://msu.edu/,us
49,Carnegie Mellon University,https://www.cmu.edu/,us
50,Rutgers The State University of New Jersey,https://www.rutgers.edu/,us
51,University of Sydney,https://www.sydney.edu.au/,au
52,University of Queensland,https://www.uq.edu.au/,au
53,Texas A&M University,https://www.tamu.edu/,us
54,University of Arizona,https://www.arizona.edu/,us
