Rahul kumar,"Assistant Professor, Dept of Plant Sciences, University of Hyderabad, Hyderabad, 500046",uohyd.ac.in,4592,Mycorrhiza | Phosphate starvation and signalling | tomato-fruit ripening | Hormone signalling | Plant mineral nutrition,https://scholar.google.com/citations?hl=en&user=zXV_U1wAAAAJ
Sharika Nandan Kaul,"Professor of  Physics, University of Hyderabad",uohyd.ernet.in,4476,Magnetism | amorphous and nanocrystalline materials | Phase transitions and critical phenomena | Bose-Einstein condensation,https://scholar.google.com/citations?hl=en&user=kz3AnxYAAAAJ
Bindu Bambah,University of Hyderabad,uohyd.ac.in,4464,High Energy Physics | Neutrino Physics | Lie Algebras | Entanglement and the information paradox | Black hole analogues,https://scholar.google.com/citations?hl=en&user=nxBOR20AAAAJ
Ganapathy Vaitheeswaran,University of Hyderabad,uohyd.ernet.in,4410,Electronic structure | High Energy materials | Correlated electron systems | High pressure studies | Lattice dynamics,https://scholar.google.com/citations?hl=en&user=rdhl9MwAAAAJ
Akhila Kumar Sahoo,University of Hyderabad,uohyd.ac.in,4210,Organic Chemistry,https://scholar.google.com/citations?hl=en&user=E2lUBvYAAAAJ
Musti J. Swamy,University of Hyderabad,uohyd.ac.in,4147,Biophysical Chemistry | Chemical Biology,https://scholar.google.com/citations?hl=en&user=orSuAwEAAAAJ
Phani Kumar,"Professor of Computer Science & Engineering, GITAM University, Hyderabad",Not Mentioned,4071,voting algorithms for fault tolerant and safety … | Computer Vision | Machine Learning,https://scholar.google.com/citations?hl=en&user=mT2aIkoAAAAJ
Tushar Jana,University of Hyderabad,uohyd.ac.in,3845,Polymer Chemistry,https://scholar.google.com/citations?hl=en&user=WmSRwckAAAAJ
Dr. -Ing. Pratap Kollu,"Assistant Professor, CASEST, School of Physics, University of Hyderabad",uohyd.ac.in,3822,Magnetic sensors | Lab on chip BioSensors | 2d materials for Li-Ion | Na-Ion batteries | Analog and digital circuit design,https://scholar.google.com/citations?hl=en&user=Pr5InHgAAAAJ
Pramod K Nayar,"Professor, Department of English, University of Hyderabad",uohyd.ac.in,3792,Colonial Discourse & India | Posthumanism | Human Rights & Literature,https://scholar.google.com/citations?hl=en&user=iT2AN1cAAAAJ
Dr. Suryadevara Nagender Kumar,University of Hyderabad,uohyd.ac.in,3761,Internet of Things | Time Series Data Mining | Ambient Assisted Living Environment,https://scholar.google.com/citations?hl=en&user=S28OdGMAAAAJ
Mehanathan Muthamilarasan,"Assistant Professor, Department of Plant Sciences, University of Hyderabad",uohyd.ac.in,3757,Millet genomics | Millet genetics | Crop biotechnology,https://scholar.google.com/citations?hl=en&user=VmiP3HsAAAAJ
Ashok Chatterjee,"Scool of Physics, University of Hyderabad, Gachibowli-500046, India",uohyd.ernet.in,3557,Condensed matter physics,https://scholar.google.com/citations?hl=en&user=jlDdCbsAAAAJ
Dr. Samudranil Pal,"Professor of Chemistry, University of Hyderabad",uohyd.ac.in,3453,Inorganic Chemistry,https://scholar.google.com/citations?hl=en&user=WDOephMAAAAJ
Naresh BV Sepuri,"Professor at University of Hyderabad, Hyderabad, India",uohyd.ernet.in,3423,mitochondria | protein import | metabolism | mitophagy,https://scholar.google.com/citations?hl=en&user=VwqALJsAAAAJ
Phanithi Prakash Babu,University of Hyderabad,uohyd.ac.in,3419,Neuroscience | Cerebral ischemia | Cerebral malaria | Glioma,https://scholar.google.com/citations?hl=en&user=YKHo1PEAAAAJ
