Matt Slater,"Associate Professor of Sport and Exercise Psychology, Staffordshire University",staffs.ac.uk,1081,Psychology of leadership and teams,https://scholar.google.com/citations?hl=en&user=NHTuPsYAAAAJ
Mohammad Moghimi Ardekani,"Associate Professor, Staffordshire University; Extraordinary lecturer University of Pretoria",staffs.ac.uk,1058,Renewable Energy | Solar Energy | Energy Storage | Optimization | CFD,https://scholar.google.com/citations?hl=en&user=UnuVUh8AAAAJ
Amy Burton,Staffordshire University,staffs.ac.uk,1052,Psychology | qualitative methods | ageing research | vision impairment | acquired disability,https://scholar.google.com/citations?hl=en&user=TFtiERIAAAAJ
Md Asaduzzaman,"Associate Professor in Operational Research, Staffordshire University",staffs.ac.uk,955,Analytics | Data Operations | Health Services Research | Telecommunications | Environmental Research,https://scholar.google.com/citations?hl=en&user=Hj3e5RsAAAAJ
Aoife Healy,"Associate Professor of Human Movement Biomechanics, Staffordshire University",staffs.ac.uk,951,Biomechanics | Mobility | Assistive Technology | Gait Analysis | Systematic Reviews,https://scholar.google.com/citations?hl=en&user=RTQoPREAAAAJ
Claire Gwinnett,Staffordshire University,staffs.ac.uk,896,Not Mentioned,https://scholar.google.com/citations?hl=en&user=qzmkl3YAAAAJ
Mohammad S. Hasan,Staffordshire University UK,staffs.ac.uk,871,Computer Networks and Security | Cloud Computing | Artificial Intelligence | Machine Learning | Big Data,https://scholar.google.com/citations?hl=en&user=CCkREJ0AAAAJ
Panagiotis Chatzistergos,"Associate professor, Staffordshire University",staffs.ac.uk,845,biomechanics | tissue mechanics | finite element modelling,https://scholar.google.com/citations?hl=en&user=6RHqAFYAAAAJ
Darren Clement,Staffordshire University,staffs.ac.uk,813,Not Mentioned,https://scholar.google.com/citations?hl=en&user=cM0lC-4AAAAJ
Peter Simcock,Staffordshire University,staffs.ac.uk,804,deafblindness | social work | social work law | safeguarding adults,https://scholar.google.com/citations?hl=en&user=BGyc8woAAAAJ
Robert Needham PhD,Staffordshire University,staffs.ac.uk,794,Biomechanics,https://scholar.google.com/citations?hl=en&user=cSPUGOkAAAAJ
Alan Eardley,"Professor of Enterprise Computing, Staffordshire University",staffs.ac.uk,759,Knowledge management | IT strategy | Virtual organisations | Virtual interfaces,https://scholar.google.com/citations?hl=en&user=UrOLW7AAAAAJ
Willian Abraham da Silveira,Staffordshire University,staffs.ac.uk,702,System Biology | Network Biology | Space Biology | Oncology | Ageing,https://scholar.google.com/citations?hl=en&user=89pFXYsAAAAJ
Caroline Sturdy Colls,"Professor of Conflict Archaeology and Genocide Investigation, Staffordshire University",staffs.ac.uk,694,Holocaust archaeology | forensic archaeology | archaeological practice | Holocaust studies | genocide investigation,https://scholar.google.com/citations?hl=en&user=PB4NQyIAAAAJ
Peter Kevern,Staffordshire University,staffs.ac.uk,634,Dementia | theology | ageing and social care,https://scholar.google.com/citations?hl=en&user=BidcnAcAAAAJ
Adrian Low,"Professor of Computing Education, Staffordshire University",staffs.ac.uk,602,Computer Vision | Image Processing | Quantum Mechanics | Theology,https://scholar.google.com/citations?hl=en&user=1nBnWlYAAAAJ
Mohamed Sedky,"Professor, Staffordshire University",staffs.ac.uk,574,Video Analytic | Machine Learning | Computer vision | Chaotic Systems,https://scholar.google.com/citations?hl=en&user=V18kGb0AAAAJ
Khawar Hameed,"Senior Lecturer, Staffordshire University",staffs.ac.uk,536,Computing | Mobile Computing | Digital Transformation | Databases,https://scholar.google.com/citations?hl=en&user=M6Nj2ioAAAAJ
Tim Horne,Staffordshire University,staffs.ac.uk,525,NMR spectroscopy | research policy,https://scholar.google.com/citations?hl=en&user=U3Dl-KsAAAAJ
Samina Naseeb,Staffordshire University,staffs.ac.uk,516,Not Mentioned,https://scholar.google.com/citations?hl=en&user=f8YLddEAAAAJ
Helen Branthwaite,"Senior Lecturer Clinical Biomechancis, Staffordshire University",staffs.ac.uk,504,Footwear | Foot Function | Stability and Balance | Foot strength.,https://scholar.google.com/citations?hl=en&user=I7u2F5IAAAAJ
Therese Lawlor-Wright,Staffordshire University,staffs.ac.uk,499,Project Management Engineering Design for …,https://scholar.google.com/citations?hl=en&user=Va-3CEMAAAAJ
MJ Stiles,"Emeritus Professor of Technology Supported Learning, Staffordshire University",staffs.ac.uk,496,eLearning | pedagogy | technology enhanced learning | organisation,https://scholar.google.com/citations?hl=en&user=bZA3G2cAAAAJ
Jammi N Rao,Staffordshire University,staffs.ac.uk,474,Public health | Health Informatics | Health Services Research | Statistics | Epidemiology,https://scholar.google.com/citations?hl=en&user=JwJ5aEYAAAAJ
Megan De Ste Croix,Academic Developer at Staffordshire University,staffs.ac.uk,458,Student attainment | Pedagogy | HEA | Active Learning | Microbiology,https://scholar.google.com/citations?hl=en&user=D4isgvYAAAAJ
Islam Abohela,"Lecturer in Architecture, Staffordshire University",staffs.ac.uk,421,Building Performance Simulation | Urban Wind Turbines | CFD Simulation | Architecture in Film,https://scholar.google.com/citations?hl=en&user=MtkVF6IAAAAJ
Professor Graham Williams,Staffordshire University,staffs.ac.uk,399,forensic genetics | microRNA | qPCR | SNP,https://scholar.google.com/citations?hl=en&user=JgergjoAAAAJ
Abdul Basit,University Hospital of North Staffordshire,Not Mentioned,382,Breast Cancer,https://scholar.google.com/citations?hl=en&user=3ap0-A8AAAAJ
Muddasar Ghani Khwaja,Senior Lecturer in Marketing at Staffordshire University,staffs.ac.uk,372,Digital Marketing | Marketing Analytics | Tourism Marketing | Occupational Psychology,https://scholar.google.com/citations?hl=en&user=TYalSh8AAAAJ
Helen Combes,Staffordshire University,staffs.ac.uk,362,Intellectual disabilities | psychology | Q methodology,https://scholar.google.com/citations?hl=en&user=G14TA78AAAAJ
Chloe Heys,"Staffordshire University, University of Glasgow, University of Liverpool",liverpool.ac.uk,345,Ecology | evolution | behaviour and microbiota,https://scholar.google.com/citations?hl=en&user=tUSp-U8AAAAJ
Megan E.  Birney,"Senior Lecturer, Staffordshire University",staffs.ac.uk,336,identity | obedience | Milgram | communication | stigma,https://scholar.google.com/citations?hl=en&user=W-9GCUgAAAAJ
Waqqas Ahmad Khokhar (WA Khokhar),"Leicestershire Partnership NHS Trust, Staffordshire University",doctors.net.uk,325,Cognitive deficits in Serious Mental Illness | Transcultural aspects of treatment of … | Therapeutuc relationship between,https://scholar.google.com/citations?hl=en&user=r8Ln2MMAAAAJ
Ami Brooks,Staffordshire University,student.staffs.ac.uk,313,Not Mentioned,https://scholar.google.com/citations?hl=en&user=3qC4iuQAAAAJ
Kevanne Sanger,Staffordshire University,btopenworld.com,308,Not Mentioned,https://scholar.google.com/citations?hl=en&user=rQTYtScAAAAJ
