Paul Gray  1930-2012,Claremont Graduate University,Not Mentioned,5213,information systems | information systems management | business intelligence,https://scholar.google.com/citations?hl=en&user=jRyT-4QAAAAJ
Kendall Cotton Bronk,"Professor of Psychology, Claremont Graduate University",cgu.edu,4728,Moral Development | Positive Youth Development | Character Education | Developmental Psychology,https://scholar.google.com/citations?hl=en&user=Ww2ap2YAAAAJ
Susan L Ames,Claremont Graduate University,cgu.edu,4699,Not Mentioned,https://scholar.google.com/citations?hl=en&user=JAtjKzQAAAAJ
Nicole M. Gatto,Claremont Graduate University,cgu.edu,4620,epidemiology | environmental health | neurological disease,https://scholar.google.com/citations?hl=en&user=ntru8nEAAAAJ
Vijay Sathe,"Professor or Management, Claremont Graduate University, Drucker School of Managment",cgu.edu,4444,Strategy | Revitalization | Change Management | Entrepreneurship,https://scholar.google.com/citations?hl=en&user=e6EZMS0AAAAJ
Dale Berger,"Professor of Psychology, Emeritus   Claremont Graduate University",cgu.edu,4098,Statistics | Educational technology | Cognition,https://scholar.google.com/citations?hl=en&user=o6KRcQUAAAAJ
Thomas Kniesner,"University Professor, Claremont Graduate University",cgu.edu,3964,Labor Economics | Health Economics | Econometrics,https://scholar.google.com/citations?hl=en&user=OdlDJb8AAAAJ
Dina Maramba,Claremont Graduate University,cgu.edu,3607,Not Mentioned,https://scholar.google.com/citations?hl=en&user=g89g3EIAAAAJ
Jason T. Siegel,Claremont graduate University,cgu.edu,3525,Social Psychology | Health Psychology | Persuasion | Motivation,https://scholar.google.com/citations?hl=en&user=GemLdaMAAAAJ
James Wallace,"Associate Professor of Accounting, Claremont Graduate University",cgu.edu,3107,Accounting | Corporate Social Responsibility,https://scholar.google.com/citations?hl=en&user=lk0VZZsAAAAJ
Mary Poplin,"professor,claremont graduate university",cgu.edu,2958,education | Christianity | worldviews | teachers,https://scholar.google.com/citations?hl=en&user=wyYKFYcAAAAJ
M. Gloria Gonzalez-Morales,Claremont Graduate University,cgu.edu,2840,Organizational Psychology,https://scholar.google.com/citations?hl=en&user=S70Uu0YAAAAJ
Terry Ryan,Claremont Graduate University,cgu.edu,2837,Information Systems and Technology,https://scholar.google.com/citations?hl=en&user=_pC9kysAAAAJ
C. Monica Capra,Claremont Graduate University,cgu.edu,2723,Behavioral Economics | Experimental Economics | NeuroEconomics,https://scholar.google.com/citations?hl=en&user=rn3OphoAAAAJ
Allon Percus,"Professor of Mathematics, Claremont Graduate University",cgu.edu,2630,Discrete Optimization | Random Networks | Statistical Physics | Machine Learning,https://scholar.google.com/citations?hl=en&user=OrFOq0kAAAAJ
Jeremy Hunter,Claremont Graduate University,Not Mentioned,2225,Self-Management | Mindfulness,https://scholar.google.com/citations?hl=en&user=vSzKHcYAAAAJ
David S. Moore,"Professor of Psychology, Pitzer College and Claremont Graduate University",pitzer.edu,1923,Developmental Science | Development and Evolution | Development in Infancy | Developmental Cognitive Neuroscience,https://scholar.google.com/citations?hl=en&user=xBlzWfEAAAAJ
Hideki Yamawaki,"Professor, Claremont Graduate University",cgu.edu,1861,Not Mentioned,https://scholar.google.com/citations?hl=en&user=Om-hu5IAAAAJ
Jessica Clague DeHart,Claremont Graduate University,cgu.edu,1800,Molecular Cancer Epidemiology | Cancer Survivorship | Wellness and Wellbeing | Intervention Trials,https://scholar.google.com/citations?hl=en&user=GLET824AAAAJ
