Tatiana Garanina,"Associate Professor, School of Accounting and Finance, University of Vaasa",uwasa.fi,2129,Intellectual Capital | Intangible Assets | Corporate Governance | Financial Accounting | ESG/CSR,https://scholar.google.com/citations?hl=en&user=nZRmBpIAAAAJ
Mazaher Karimi,"School of Technology and Innovations, University of Vaasa",uwasa.fi,2116,Smart Grid | Distributed Generation | IEC 61850 | Power System Protection,https://scholar.google.com/citations?hl=en&user=-aMunuIAAAAJ
Tauno Kekale,"President, Vaasa University of Applied Sciences",vamk.fi,1963,quality | innovation | education | learning,https://scholar.google.com/citations?hl=en&user=YrYGelsAAAAJ
Peter Gabrielsson,"Professor of International Marketing, University of Vaasa",uwasa.fi,1949,international marketing | international entrepreneurship | international business | sustainability | born globals,https://scholar.google.com/citations?hl=en&user=HsGC3PIAAAAJ
Harri Luomala,University of Vaasa,uva.fi,1939,Consumer Behavior | Food Marketing | Emotions | Health | Sustainability,https://scholar.google.com/citations?hl=en&user=JnGVLXcAAAAJ
Tomi J Kallio,"Professor, University of Vaasa (Finland) and Linnaeus University (Sweden)",utu.fi,1855,Business development | Organization theory | Knowledge-intensive organizations | Higher education | Performance measurement and mana,https://scholar.google.com/citations?hl=en&user=YDeROXcAAAAJ
Jukka Partanen,"Associate Professor, Department of Management, University of Vaasa,",uva.fi,1785,high-growth firms | entrepreneurial stress and well-being | strategic networks | organizational ambidexterity | and industrial servi,https://scholar.google.com/citations?hl=en&user=c6ymWSIAAAAJ
Liisa Mäkelä,Finnish Institute of Occupational Health & University of Vaasa,uwasa.fi,1735,Leading people | People management | Work wellbeing | Work-life balance,https://scholar.google.com/citations?hl=en&user=TH48_u4AAAAJ
Helena Haapio,"Associate Professor of Business Law, University of Vaasa | Contract Strategist, Lexpert",lexpert.com,1710,Proactive Law | Proactive Contracting | Contract Design | Contract Simplfication & Visualization | Legal Design,https://scholar.google.com/citations?hl=en&user=Gpe-ymEAAAAJ
Marja Naaranoja,"Adjunct Professor, University of Vaasa",Not Mentioned,1685,Innovation Management | Knowledge Management | Product Development | Construction networks,https://scholar.google.com/citations?hl=en&user=QkP8XqkAAAAJ
Annika Tidström,"Professor, University of Vaasa",uwasa.fi,1593,coopetition | business networks | strategy-as-practice,https://scholar.google.com/citations?hl=en&user=DuoU198AAAAJ
Mohammed Elmusrati,Full Professor at School of Technology and Innovations / University of Vaasa,uwasa.fi,1526,Wireless Communication | Machine Learning | Game Theory | Uncertainty  Analysis | AI and ML in Bioinformatics,https://scholar.google.com/citations?hl=en&user=riIGz3YAAAAJ
Chris Brewster,"Professor of International HRM, Universities of Reading, UK; Vaasa, Finland; Radboud NL; …",henley.ac.uk,28490,International HRM | Comparative HRM | expatriation,https://scholar.google.com/citations?hl=en&user=FHXhNbwAAAAJ
Jouni Lampinen,"Professor of Computer Science, University of Vaasa, Finland",uwasa.fi,15213,Computational Intelligence | Evolutionary Computing | Global Optimization | Differential Evolution,https://scholar.google.com/citations?hl=en&user=w__ag4oAAAAJ
Marcelo Godoy Simões,University of Vaasa,uwasa.fi,15149,Power Electronics | Renewable Energy | Artificial Intelligence | Smart-Grid,https://scholar.google.com/citations?hl=en&user=vGEBO7EAAAAJ
Miadreza Shafie-khah,University of Vaasa,uva.fi,13463,smart grid | demand response | electric vehicle | flexibility | electricity market,https://scholar.google.com/citations?hl=en&user=aJFV9pIAAAAJ
Martin Meyer,University of Vaasa and University of Aberdeen Business School,uwasa.fi,9297,innovation | technology management | emerging technologies | academic entrepreneurship | bibliometrics,https://scholar.google.com/citations?hl=en&user=FsCwR9kAAAAJ
Petri Helo,"Professor of Industrial Management, University of Vaasa",uwasa.fi,8553,Supply Chain Management | Operations Management | Logistics Systems | Digitalization | Computers in Industry,https://scholar.google.com/citations?hl=en&user=fp0XmGUAAAAJ
Vesa Suutari,"Professor, School of Management, University of Vaasa",uva.fi,7782,Expatriation | International human resource management | cross-cultural management | human resource management,https://scholar.google.com/citations?hl=en&user=sg3AfR4AAAAJ
Marko Kohtamäki,"Professor of strategy, University of Vaasa",uva.fi,7154,Servitization | strategy-as-practice | Product-Service Systems | Business Model | dynamic capabilities,https://scholar.google.com/citations?hl=en&user=UW--itcAAAAJ
Juha Arrasvuori,"Associate Professor, SC-Research / University of Vaasa",uva.fi,5829,digital media | game research | innovation methods | IPR | product and service development,https://scholar.google.com/citations?hl=en&user=tHBEFLIAAAAJ
Alander J*,"Professor of Production Automation, University of Vaasa",uwasa.fi,5013,genetic algorithms | optics | image processing | automation,https://scholar.google.com/citations?hl=en&user=iOapk6AAAAAJ
Jorma Larimo,"University of Vaasa, Finland",uwasa.fi,4753,FDI | Internationalization of SMEs | Market Entry | Acquisitions and Joint Ventures,https://scholar.google.com/citations?hl=en&user=M7mXvJ4AAAAJ
J.Birgitta Martinkauppi,University of Vaasa,uva.fi,4677,Not Mentioned,https://scholar.google.com/citations?hl=en&user=nlwbZvgAAAAJ
Arto Ojala,"Professor of International Business, University of Vaasa",uwasa.fi,4613,International Business | Entrepreneurship | Digitalization | Digital platfroms | Pricing,https://scholar.google.com/citations?hl=en&user=1QnM_DIAAAAJ
朱联东(Liandong Zhu),University of Vaasa,uva.fi,4589,biofuel production | algae | wastewater treatment | waste recycling and reuse | sustainable development,https://scholar.google.com/citations?hl=en&user=cfNRC60AAAAJ
Jussi Nikkinen,"Professor of Accounting and Finance, University of Vaasa",uva.fi,3597,Not Mentioned,https://scholar.google.com/citations?hl=en&user=3Qwnt2IAAAAJ
Arto Rajala,"Professor of Marketing, University of Vaasa (Finland)",uva.fi,3478,Business Networks | Marketing Capabilities | Customer Value Creation,https://scholar.google.com/citations?hl=en&user=yn2VK8gAAAAJ
Josu Takala,University of Vaasa,uva.fi,3156,Decision making | Operations strategies | Technology | Knowledge | Innovations,https://scholar.google.com/citations?hl=en&user=7RgUSv8AAAAJ
Kimmo Kauhaniemi,University of Vaasa,uwasa.fi,3121,Power systems | relay protection,https://scholar.google.com/citations?hl=en&user=Hh41BGIAAAAJ
Anne Kankaanranta,"… University Lecturer, Aalto University School of Business; Adjunct Professor, Vaasa University",aalto.fi,2948,Organizational Communication | Corporate Communication | Email genres | English as Business Lingua Franca | Intercultural Business C,https://scholar.google.com/citations?hl=en&user=P7l4kbUAAAAJ
